,Unnamed: 0,name,location,rest_type,dish_liked,cuisines,listed_in(type),cost
15,15,Cafe Vivacity,Banashankari,Cafe,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",Cafe,Cafes,moderate
16,16,Catch-up-ino,Banashankari,Cafe,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi","Cafe, Fast Food, Continental, Chinese, Momos",Cafes,moderate
17,17,Kirthi's Biryani,Banashankari,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",Cafes,moderate
18,18,T3H Cafe,Banashankari,Cafe,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata","Cafe, Italian, American",Cafes,cheap
19,19,360 Atoms Restaurant And Cafe,Banashankari,Cafe,,"Cafe, Chinese, Continental, Italian",Cafes,cheap
20,20,The Vintage Cafe,Banashankari,Cafe,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",Cafes,cheap
21,21,Woodee Pizza,Banashankari,Cafe,"Pizza, Garlic Bread","Cafe, Pizza, Fast Food, Beverages",Cafes,cheap
22,22,Cafe Coffee Day,Banashankari,Cafe,,"Cafe, Fast Food",Cafes,moderate
23,23,My Tea House,Banashankari,"Quick Bites, Cafe","Pasta, Iced Tea","Italian, Fast Food, Cafe, European",Cafes,moderate
24,24,Hide Out Cafe,Banashankari,Cafe,,Cafe,Cafes,cheap
25,25,CAFE NOVA,Banashankari,Cafe,,"Cafe, Bakery",Cafes,moderate
26,26,Coffee Tindi,Banashankari,"Cafe, Quick Bites",,"Cafe, South Indian",Cafes,cheap
27,27,Sea Green Cafe,Banashankari,Cafe,,"Cafe, Fast Food, Beverages",Cafes,cheap
28,28,Cuppa,Banashankari,Cafe,,"Cafe, Fast Food",Cafes,cheap
29,29,Srinathji's Cafe,Basavanagudi,"Casual Dining, Cafe","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food",Cafes,cheap
30,30,Redberrys,Basavanagudi,Cafe,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian",Cafes,moderate
31,31,Foodiction,Banashankari,Quick Bites,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani","North Indian, Fast Food, Chinese, Burger",Delivery,cheap
32,32,Sweet Truth,Banashankari,Delivery,,"Bakery, Desserts",Delivery,cheap
33,33,Ovenstory Pizza,Banashankari,Delivery,"Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza",Pizza,Delivery,moderate
34,34,Faasos,Banashankari,Quick Bites,"Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap","North Indian, Biryani, Fast Food",Delivery,cheap
35,35,Behrouz Biryani,Banashankari,Delivery,"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani",Biryani,Delivery,moderate
36,36,Fast And Fresh,Banashankari,Quick Bites,,"North Indian, Chinese, Fast Food",Delivery,cheap
37,37,Szechuan Dragon,Banashankari,Casual Dining,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken","Chinese, Thai, Momos",Delivery,moderate
38,38,Empire Restaurant,Jayanagar,Casual Dining,"Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice","North Indian, Mughlai, South Indian, Chinese",Delivery,moderate
39,39,Maruthi Davangere Benne Dosa,Banashankari,Quick Bites,,South Indian,Delivery,cheap
40,40,Chaatimes,Basavanagudi,Quick Bites,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri","Street Food, Fast Food",Delivery,cheap
41,41,Havyaka Mess,Banashankari,Mess,,South Indian,Delivery,cheap
42,42,McDonald's,Banashankari,Quick Bites,"Burgers, Fries, Hot Chocolate","Burger, Fast Food",Delivery,cheap
43,43,Domino's Pizza,Banashankari,Quick Bites,"Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos","Pizza, Fast Food",Delivery,moderate
44,44,Onesta,Banashankari,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",Delivery,moderate
45,45,Hotboxit,Banashankari,Delivery,Prompt Service,"North Indian, Continental, Italian",Delivery,cheap
46,46,Kitchen Garden,Kumaraswamy Layout,Quick Bites,Biryani,"North Indian, Chinese",Delivery,cheap
47,47,Recipe,Kumaraswamy Layout,Casual Dining,"Butter Chicken, Noodles, Thali, Biryani","North Indian, Chinese, Biryani, Rolls",Delivery,cheap
48,48,Beijing Bites,Rajarajeshwari Nagar,Casual Dining,"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice","Chinese, Thai",Delivery,moderate
49,49,Tasty Bytes,Kumaraswamy Layout,Quick Bites,"Paratha, Pasta","North Indian, Chinese, Momos, Rolls",Delivery,cheap
50,50,Petoo,Banashankari,Quick Bites,,North Indian,Delivery,cheap
51,51,Shree Cool Point,Vijay Nagar,Quick Bites,,"Fast Food, Street Food, Beverages",Delivery,cheap
52,52,Corner House Ice Cream,Banashankari,Dessert Parlor,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse","Ice Cream, Desserts",Delivery,cheap
53,53,Biryanis And More,Jayanagar,Casual Dining,"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani","Biryani, North Indian, Chinese, Andhra, South Indian",Delivery,moderate
54,54,Roving Feast,Banashankari,Quick Bites,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti","Italian, Continental, Fast Food, Chinese, Momos",Delivery,cheap
55,55,FreshMenu,Banashankari,Delivery,"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",Delivery,cheap
56,56,Banashankari Donne Biriyani,Banashankari,Quick Bites,,"Biryani, Fast Food",Delivery,cheap
57,57,Wamama,Banashankari,Casual Dining,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll","Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",Delivery,moderate
58,58,Five Star Chicken,Banashankari,Quick Bites,,"Fast Food, Burger",Delivery,cheap
59,59,XO Belgian Waffle,Banashankari,Dessert Parlor,,"Desserts, Beverages",Delivery,cheap
60,60,Peppy Peppers,Banashankari,Casual Dining,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup","Italian, North Indian, Mexican",Delivery,moderate
61,61,Goa 0 Km,Kumaraswamy Layout,Casual Dining,"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken","Goan, Seafood, North Indian, Chinese, Biryani",Delivery,moderate
62,62,Chinese Kitchen,Basavanagudi,Quick Bites,,Chinese,Delivery,cheap
63,63,1947,Banashankari,Casual Dining,"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup","North Indian, Chinese",Delivery,moderate
64,64,Cake of the Day,Banashankari,"Bakery, Dessert Parlor",,Bakery,Delivery,cheap
65,65,Kabab Magic,Basavanagudi,Quick Bites,"Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls","North Indian, Kebab, Chinese, Fast Food",Delivery,cheap
66,66,Namma Brahmin's Idli,Jayanagar,Quick Bites,,South Indian,Delivery,cheap
67,67,Gustoes Beer House,Banashankari,Pub,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings","Continental, Italian, Mexican, North Indian, Chinese, Steak",Delivery,expensive
68,68,Sugar Rush,Banashankari,Bakery,,"Bakery, Desserts",Delivery,cheap
69,69,Burger King,Basavanagudi,Quick Bites,,"Burger, Fast Food, Beverages",Delivery,moderate
70,70,The Good Bowl,Banashankari,"Takeaway, Delivery",,"Italian, North Indian, Biryani",Delivery,cheap
71,71,The Biryani Cafe,Banashankari,Quick Bites,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani","Biryani, Chinese, Kebab",Delivery,cheap
72,72,Spicy Tandoor,Banashankari,Quick Bites,,North Indian,Delivery,cheap
73,73,LSD Cafe,Banashankari,Delivery,,"Chinese, Continental, Italian, North Indian",Delivery,moderate
74,74,Rolls On Wheels,Banashankari,Quick Bites,"Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll","Fast Food, Rolls, Momos",Delivery,cheap
75,75,Om Sri Vinayaka Chats,Banashankari,"Takeaway, Delivery",,"Street Food, Fast Food",Delivery,cheap
76,76,Sri Guru Kottureshwara Davangere Benne Dosa,Basavanagudi,Quick Bites,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",South Indian,Delivery,cheap
77,77,Devanna Dum Biriyani Centre,Banashankari,Quick Bites,,"Biryani, South Indian",Delivery,cheap
78,78,Kolbeh,Banashankari,Quick Bites,,Fast Food,Delivery,cheap
79,79,Upahar Sagar,Banashankari,Quick Bites,Masala Dosa,"South Indian, Chinese, North Indian",Delivery,cheap
80,80,Kadalu Sea Food Restaurant,Vijay Nagar,Fine Dining,,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",Delivery,cheap
81,81,Frozen Bottle,Banashankari,Beverage Shop,"Berryblast, Waffles, Cheesecake, Salted Caramel","Beverages, Desserts, Ice Cream",Delivery,cheap
82,82,Parimala Sweets,Banashankari,Sweet Shop,,"Mithai, Street Food",Delivery,cheap
83,83,Vaishali Deluxe,Banashankari,Casual Dining,,"North Indian, Chinese",Delivery,moderate
84,84,Chill Out,Banashankari,Quick Bites,,"South Indian, Chinese",Delivery,cheap
85,85,The Big O Bakes,Banashankari,Bakery,,"Bakery, Desserts",Delivery,cheap
86,86,Meghana Foods,Jayanagar,Casual Dining,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita","Biryani, North Indian, Chinese",Delivery,moderate
87,87,Krishna Sagar,Banashankari,Quick Bites,,North Indian,Delivery,cheap
88,88,Dessert Rose,Banashankari,Dessert Parlor,,Desserts,Delivery,cheap
89,89,Chickpet Donne Biryani House,Banashankari,Quick Bites,,Biryani,Delivery,cheap
90,90,Me And My Cake,Banashankari,Delivery,,"Bakery, Desserts",Delivery,cheap
91,91,Sunsadm,Banashankari,"Takeaway, Delivery",,South Indian,Delivery,cheap
92,92,Annapooraneshwari Mess,Banashankari,Mess,,South Indian,Delivery,cheap
93,93,Thanco's Natural Ice Creams,Banashankari,Dessert Parlor,,Ice Cream,Delivery,cheap
94,94,Nandhini Deluxe,Banashankari,Casual Dining,"Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian",North Indian,Delivery,moderate
95,95,Vi Ra's Bar and Restaurant,Banashankari,Bar,Chilli Chicken,"South Indian, North Indian, Chinese",Delivery,moderate
96,96,Kaggis,Banashankari,Quick Bites,,"Fast Food, Bakery",Delivery,cheap
97,97,Ayda Persian Kitchen,Banashankari,Casual Dining,,"North Indian, Iranian",Delivery,moderate
98,98,Chatar Patar,Banashankari,Quick Bites,"Panipuri, Chaat, Noodles, Dahi Bhalle","Fast Food, Street Food",Delivery,cheap
99,99,Polar Bear,Basavanagudi,Dessert Parlor,Hot Chocolate Fudge,"Ice Cream, Desserts, Beverages, Sandwich",Delivery,cheap
100,100,Kidambi's Kitchen,Banashankari,Quick Bites,Rooftop Ambience,South Indian,Delivery,cheap
101,101,Mane Thindi,Banashankari,Quick Bites,"Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa",South Indian,Delivery,cheap
102,102,Kotian Karavali Restaurant,Banashankari,Quick Bites,,"South Indian, Biryani",Delivery,cheap
103,103,Floured-Baked With Love,Banashankari,"Takeaway, Delivery","Cup Cake, Chocolate Cake",Bakery,Delivery,cheap
104,104,CAFE NOVA,Banashankari,Cafe,,"Cafe, Bakery",Delivery,moderate
105,105,Cakes & Slices,Banashankari,Bakery,,"Bakery, Desserts",Delivery,cheap
106,106,Spice 9,Banashankari,Quick Bites,,"Biryani, North Indian, Chinese, Fast Food",Delivery,cheap
107,107,Coffee Shopee,Banashankari,"Takeaway, Delivery",,Beverages,Delivery,cheap
108,108,Naveen Kabab & Biriyani Mane,Banashankari,Quick Bites,,Biryani,Delivery,cheap
109,109,Katriguppe Donne Biryani,Banashankari,Quick Bites,,North Indian,Delivery,cheap
110,110,Hari Super Sandwich,Banashankari,"Takeaway, Delivery",,"Sandwich, Pizza, Beverages",Delivery,cheap
111,111,Atithi Point Ande Ka Funda,Banashankari,Quick Bites,,North Indian,Delivery,cheap
112,112,Just Bake,Banashankari,Bakery,,"Bakery, Desserts",Delivery,cheap
113,113,Dharwad Line Bazaar Mishra Pedha,Banashankari,Dessert Parlor,,Mithai,Delivery,cheap
114,114,Cake Bite,Banashankari,Bakery,,Bakery,Delivery,cheap
115,115,Aarush's Food Plaza,Banashankari,Quick Bites,,"North Indian, Street Food",Delivery,cheap
116,116,Wood Stove,Banashankari,"Takeaway, Delivery",,South Indian,Delivery,cheap
117,117,Kulfi & More,Banashankari,Dessert Parlor,,"Ice Cream, Desserts, Juices",Delivery,cheap
118,118,Kannadigas Karavali,Banashankari,Quick Bites,,"Mangalorean, South Indian, North Indian",Delivery,cheap
119,119,K27 - The Pub,Banashankari,Bar,,"Chinese, North Indian",Delivery,expensive
120,120,Bengaluru Coffee House,Banashankari,Quick Bites,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli","South Indian, North Indian, Chinese, Street Food",Delivery,cheap
121,121,New Mangalore Lunch Home,Banashankari,Quick Bites,,"Mangalorean, South Indian, North Indian",Delivery,cheap
122,122,Coffee Bytes,Banashankari,Quick Bites,,"Fast Food, South Indian",Delivery,cheap
123,123,Parjanya Chat Zone,Banashankari,Quick Bites,,"Street Food, Fast Food",Delivery,cheap
124,124,Kwality Wall's Swirl's Happiness Station,Banashankari,Dessert Parlor,,"Ice Cream, Desserts",Delivery,cheap
125,125,Soms Kitchen & Bakes,Banashankari,Delivery,,"South Indian, North Indian, Continental",Delivery,cheap
126,126,Banashankari Nati Style,Banashankari,Quick Bites,,"Biryani, Chinese, South Indian, North Indian",Delivery,cheap
127,127,Ruchi Maayaka,Banashankari,Delivery,,South Indian,Delivery,cheap
128,128,Mohitesh Hut Roll,Banashankari,Quick Bites,,"Rolls, North Indian",Delivery,cheap
129,129,Sri Basaveshwar Jolada Rotti Oota,Banashankari,Quick Bites,,South Indian,Delivery,cheap
130,130,Roll Magic Fast Food,Banashankari,"Takeaway, Delivery",,"Biryani, Rolls, Chinese",Delivery,cheap
131,131,Foodlieious Multi Cuisine,Banashankari,Quick Bites,,North Indian,Delivery,cheap
132,132,Thanishka Nati And Karavali Style,Banashankari,Quick Bites,,"Biryani, Fast Food",Delivery,cheap
133,133,Swathi Cool Point,Banashankari,Beverage Shop,,"Beverages, Juices",Delivery,cheap
134,134,Kaumudis Juoice,Banashankari,"Beverage Shop, Quick Bites",,"Beverages, Fast Food, Juices",Delivery,cheap
135,135,Amma - Manae,Banashankari,"Takeaway, Delivery",,South Indian,Delivery,cheap
136,136,Sri Sai Tiffannies,Banashankari,Quick Bites,,"South Indian, Chinese",Delivery,cheap
137,137,Hotel Andhra Speices,Banashankari,Quick Bites,,Andhra,Delivery,cheap
138,138,Sri Murari Family Restaurant,Banashankari,Quick Bites,,Biryani,Delivery,cheap
139,139,Aramane Donne Biriyani,Banashankari,Quick Bites,,"South Indian, Biryani",Delivery,cheap
140,140,Darkolates,Banashankari,Confectionery,,Desserts,Delivery,cheap
141,141,Swaada Healthy Kitchen,Banashankari,"Quick Bites, Beverage Shop",,"Healthy Food, Juices, Sandwich",Delivery,cheap
142,142,Gawdaru Mane Beriyani,Banashankari,Quick Bites,,"South Indian, Biryani",Delivery,cheap
143,143,Melting Melodies,Banashankari,"Takeaway, Delivery",,"Pizza, Fast Food",Delivery,cheap
144,144,New Indraprasta,Banashankari,Quick Bites,,"South Indian, Beverages",Delivery,cheap
145,145,Anna Kuteera,Banashankari,Casual Dining,"Panner Tikka, Kulfi, Coffee, Pav Bhaji, Carrot Halwa, Fried Rice, Set Dosa","South Indian, North Indian, Chinese",Delivery,cheap
146,146,Darbar,Banashankari,Bar,"Paneer Tikka, Dal Kichadi, French Fries","North Indian, Chinese",Delivery,moderate
147,147,Vijayalakshmi,Basavanagudi,Quick Bites,,South Indian,Delivery,cheap
148,148,Sri Udupi Food Hub,Jayanagar,Casual Dining,"Filter Coffee, Masala Dosa, Idli, Vada","South Indian, North Indian, Chinese, Beverages",Delivery,cheap
149,149,Udupi Upahar,Banashankari,Quick Bites,,"South Indian, Chinese, North Indian, Juices",Delivery,cheap
150,150,House Of Kebabs,Basavanagudi,Casual Dining,"Rolls, Shawarma, Butter Chicken, Mutton Biryani, Lahori Chicken, Chicken Roll, Grape Juice","North Indian, Kebab, Biryani, Chinese",Delivery,moderate
151,151,Roll N Rock,Kumaraswamy Layout,Quick Bites,"Rolls, Paratha, Chicken Biryani","Chinese, North Indian, Mughlai, Rolls",Delivery,cheap
152,152,BOX8- Desi Meals,Banashankari,"Takeaway, Delivery","Paratha, Mughlai Chicken, Masala Lemonade, Butter Chicken, Rajma, Sandwich, Salad","North Indian, Mughlai, Fast Food",Delivery,cheap
153,153,KFC,Banashankari,Quick Bites,"Burgers, French Fries","Burger, Fast Food",Delivery,cheap
154,154,Bitez,Banashankari,Quick Bites,,Fast Food,Delivery,cheap
155,155,Roll Over,Jayanagar,Dessert Parlor,"Rolls, Ice Cream Roll, Paan Ice Cream, Coffee, Vanilla Ice Cream, Chocolate Icecreams, Mississippi Mudpie","Desserts, Ice Cream, Beverages, Fast Food, Sandwich",Delivery,cheap
156,156,Imperial Restaurant,Mysore Road,Casual Dining,"Kadhai Paneer, Ghee Rice, Chicken Grill, Shawarma, Paratha, Biryani, Butter Chicken","North Indian, Chinese, Biryani, Beverages",Delivery,moderate
157,157,Lassi Shop,Kumaraswamy Layout,Beverage Shop,,"Beverages, Juices, Ice Cream",Delivery,cheap
158,158,The Fortuna,Kumaraswamy Layout,Quick Bites,,"North Indian, Chinese",Delivery,cheap
159,159,Wahab,Jayanagar,Quick Bites,"Chicken Biryani, Rolls","North Indian, Mughlai, Chinese",Delivery,cheap
160,160,Al Diwan Biryanis And More,Basavanagudi,"Takeaway, Delivery",,Biryani,Delivery,cheap
161,161,New Gowda's Fried Chicken,Banashankari,Quick Bites,,Biryani,Delivery,cheap
162,162,Canton,Jayanagar,Casual Dining,"Roast Pork, Tai Pai Chicken, Beer, Sweet Corn Chicken Soup, Masala Peanuts, Chinese Chop Suey, Chicken Lollipop","Chinese, Seafood, Biryani",Delivery,moderate
163,163,Diabetics Dezire Sugarless Sweets and Bakes,Basavanagudi,"Dessert Parlor, Sweet Shop",,"Desserts, Mithai",Delivery,cheap
164,164,The Blue Wagon - Kitchen,Jayanagar,Cafe,"Pizza, Nachos, Garlic Maggi, Burgers, Cheese Maggi, Bruschetta Bites, Sandwich","Cafe, Beverages",Delivery,cheap
165,165,HOT COFFEE,Basavanagudi,Quick Bites,,"South Indian, Chinese",Delivery,cheap
166,166,Patio 805,Jayanagar,Casual Dining,"Noodles, Laksa Soup, Coffee, Veg Fritters, Vegetarian, Babycorn Manchurian, Mango Salad","Thai, Vietnamese, Asian, Chinese",Delivery,expensive
167,167,Lassi Corner,Basavanagudi,Beverage Shop,Lassi,"Beverages, Ice Cream",Delivery,cheap
168,168,Sagar Deluxe,Kumaraswamy Layout,Quick Bites,"Coffee, Chaat","South Indian, North Indian, Chinese, Juices",Delivery,cheap
169,169,Kanti Sweets,Banashankari,Sweet Shop,,"Mithai, Street Food",Delivery,cheap
170,170,Vegetalia,Banashankari,"Takeaway, Delivery",,"Italian, Pizza",Delivery,cheap
171,171,Aramane Donne Biryani,Banashankari,Quick Bites,,Biryani,Delivery,cheap
172,172,Ande Ka Funda,Banashankari,Quick Bites,,"North Indian, Fast Food, Rolls",Delivery,cheap
173,173,Cake Ghar,Basavanagudi,Bakery,,Bakery,Delivery,cheap
174,174,Energy Addaa,Basavanagudi,Quick Bites,"Pizza, Nachos, Salads, Peri Peri Fries, Brownie, Pasta Alfredo, Spaghetti","Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",Delivery,cheap
175,175,Bhattara Bhojana,Banashankari,Quick Bites,,South Indian,Delivery,cheap
176,176,Tandoori Knight,Banashankari,Quick Bites,"Chicken Grill, Biryani, Roti, Chicken Masala","North Indian, Chinese, Biryani, Kebab",Delivery,cheap
177,177,Dev Sagar - Food Street,Basavanagudi,Quick Bites,"Chaat, Pav Bhaji, Dabeli, Vada Pav, Tawa Pulav, Panipuri, Malpua",Street Food,Delivery,cheap
178,178,Mitraa Da Pizza,Kumaraswamy Layout,Quick Bites,"Pizza, Burgers","Fast Food, Pizza",Delivery,cheap
179,179,Paradise Premium,Banashankari,Casual Dining,,"Biryani, Andhra, Hyderabadi, North Indian",Delivery,moderate
180,180,Grazers,Jayanagar,Cafe,"Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges","Cafe, Burger, Continental, Italian, Desserts",Delivery,moderate
181,181,Shakes Theory,Jayanagar,Beverage Shop,"Sandwiches, Thick Shakes, Paan Shake, Brownie Bomb, Fries, Spinach Corn Sandwich, Paneer Peri Peri","Beverages, Sandwich",Delivery,cheap
182,182,@Italy,Kumaraswamy Layout,Casual Dining,"Pizza, Pasta, Spinach Salsa, Garlic Bread, Lasagne, Bruschettas, Chocolate Bomb",Italian,Delivery,moderate
183,183,Chilli Flakes,Banashankari,Quick Bites,,"Fast Food, Italian, Beverages",Delivery,cheap
184,184,Calcutta Cafe,Kumaraswamy Layout,Quick Bites,,"Bengali, Chinese, Sandwich",Delivery,cheap
185,185,Old Mumbai Ice Cream,Banashankari,Dessert Parlor,Friendly Staff,Ice Cream,Delivery,cheap
186,186,Donne Biriyani House,Banashankari,Quick Bites,Biryani,"South Indian, North Indian, Chinese, Biryani",Delivery,cheap
187,187,By 2 Coffee,Basavanagudi,Quick Bites,,South Indian,Delivery,cheap
188,188,Kedia's Fun Food,Jayanagar,Quick Bites,"Paratha, Vada Pav, Chaat, Pav Bhaji, Panipuri, Masala Poori, Dhokla","North Indian, Street Food, Juices",Delivery,cheap
189,189,Davangere Butter Dosa Hotel,Kumaraswamy Layout,Quick Bites,,South Indian,Delivery,cheap
190,190,Just Shawarma,Kumaraswamy Layout,Quick Bites,"Whole Meat Shawarma, Fries",Arabian,Delivery,cheap
191,191,Mini Punjabi Dhaba,Banashankari,Quick Bites,"Panneer Butter Masala, Lassi, Paratha, Jeera Rice, Paneer Parantha, Bhindi Fry, Veg Kolhapuri",North Indian,Delivery,cheap
192,192,Mulabagilu Dosa,Basavanagudi,Quick Bites,,South Indian,Delivery,cheap
193,193,CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Banashankari,Cafe,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",Cafe,Delivery,cheap
194,194,Gokul Veg,Basavanagudi,Casual Dining,"Masala Papad, Paneer Satay, Vegetable Biryani, Panneer Butter Masala, Tomato Soup, Manchow Soup, Roti","North Indian, Chinese, Beverages",Delivery,moderate
195,195,Olive - Era,Kumaraswamy Layout,Casual Dining,"Shawarma, Biryani, Bbq Chicken, Chicken Grill, Raita","BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",Delivery,cheap
196,196,Udupi Ruchi,Banashankari,Quick Bites,,"South Indian, North Indian, Chinese, Street Food",Delivery,cheap
197,197,Madhappa Hindu Military Hotel,Banashankari,Quick Bites,,South Indian,Delivery,cheap
198,198,Gama Gama,Banashankari,Quick Bites,"Jowar Roti, Buttermilk, Sabudana Vada, Thali, Mirchi Bajji, Brinjal Curry",South Indian,Delivery,cheap
199,199,The Vintage Cafe,Banashankari,Cafe,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",Delivery,cheap
